Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Obesity,IL10,3586,interleukin 10,CSIF TGIF GVHDS IL-10 IL10A,1,478
Obesity,IL6,3569,interleukin 6,CDF HGF HSF BSF2 IL-6 BSF-2 IFNB2 IFN-beta-2,7,502
Obesity,IRS2,8660,insulin receptor sub,IRS-2,13,2778
Obesity,KCNJ11,3767,"potassium channel, i",BIR HHF2 PHHI IKATP TNDM3 KIR6.2 MODY13,11,441
Obesity,LEP,3952,leptin,OB OBS LEPD,7,193
Obesity,LMNA,4000,lamin A/C,FPL IDC LFP CDDC EMD2 FPLD HGPS LDP1 LMN1 LMNC PRO,1,41321
Obesity,LPL,4023,lipoprotein lipase,LIPD HDLCQ11,8,200
Obesity,MBL2,4153,mannose-binding lect,MBL MBP MBP1 MBPD MBL2D MBP-C COLEC1 HSMBPC,10,110436
Obesity,MIF,4282,macrophage migration,GIF GLIF MMIF,22,55655
Obesity,MME,4311,membrane metallo-end,NEP SFE CD10 CALLA,3,5275
Obesity,MTHFR,4524,methylenetetrahydrof,,1,4349
Obesity,NFE2L2,4780,"nuclear factor, eryt",NRF2 HEBP1,2,2412
Obesity,NGF,4803,nerve growth factor ,NGFB HSAN5 Beta-NGF,1,1876
Obesity,NOS1,4842,nitric oxide synthas,NOS bNOS nNOS IHPS1 N-NOS NC-NOS,12,37327
Obesity,NOS3,4846,nitric oxide synthas,eNOS ECNOS,7,504
Obesity,PECAM1,5175,platelet/endothelial,CD31 PECA1 GPIIA&apos; PECAM-1 endoCAM CD31/EndoCA,17,47925
Obesity,POMC,5443,proopiomelanocortin,"LPH,  MSH,  NPP,  POC,  ACTH,  CLIP",2,723
Obesity,PON1,5444,paraoxonase 1,ESA PON MVCD5,7,68058
Obesity,PRKG1,5592,"protein kinase, cGMP",PKG cGK AAT8 cGK1 cGKI cGK 1 PRKG1B PRKGR1B cGKI-B,10,55964
Obesity,PSMD9,5715,proteasome 26S subun,p27 Rpn4,12,2106
Obesity,SERPINF1,5176,serpin peptidase inh,OI6 OI12 PEDF EPC-1 PIG35,17,1965
Obesity,SLC2A4,6517,solute carrier famil,GLUT4,17,74381
Obesity,SOD2,6648,superoxide dismutase,IPOB MNSOD MVCD6,6,530
Obesity,SREBF1,6720,sterol regulatory el,SREBP1 bHLHd1 SREBP-1c,17,3079
Obesity,TLR4,7099,toll-like receptor 4,TOLL CD284 TLR-4 ARMD10,9,41317
Obesity,TNF,7124,tumor necrosis facto,DIF TNFA TNFSF2 TNF-alpha,6,496
Obesity,TNFRSF11B,4982,tumor necrosis facto,OPG TR1 OCIF PDB5,8,1912
Obesity,TNFRSF1B,7133,tumor necrosis facto,p75 TBPII TNFBR TNFR2 CD120b TNFR1B TNFR80 TNF-R75,1,829
Obesity,TRH,7200,thyrotropin-releasin,TRF Pro-TRH,3,5163
Obesity,TRPA1,8989,transient receptor p,"FEPS,  ANKTM1",8,7189
Obesity,TRPV1,7442,transient receptor p,VR1,17,12920
Obesity,TSPO,706,translocator protein,DBI IBP MBR PBR PBS BPBS BZRP PKBS PTBR mDRC pk18,22,574
Obesity,UCP2,7351,uncoupling protein 2,UCPH BMIQ4 SLC25A8,11,2516
Obesity,UNC13A,23025,unc-13 homolog A (C.,Munc13-1,19,11279
Obesity,VEGFA,7422,vascular endothelial,VPF VEGF MVCD1,6,2534
Obesity,VIP,7432,vasoactive intestina,PHM27,6,2539
Obesity,VWF,7450,von Willebrand facto,VWD F8VWF,12,466
Stress,ACE,1636,angiotensin I conver,DCP ICH ACE1 DCP1 CD143 MVCD3,17,37351
Stress,ADIPOQ,9370,"adiponectin, C1Q and",ACDC ADPN APM1 APM-1 GBP28 ACRP30 ADIPQTL1,3,3525
Stress,ADM,133,adrenomedullin,AM PAMP,11,873
Stress,AGER,177,advanced glycosylati,RAGE,6,883
Stress,AKR1B1,231,aldo-keto reductase ,AR ADR ALR2 ALDR1,7,133743
Stress,ALDH2,217,aldehyde dehydrogena,ALDM ALDHI ALDH-E2,12,55480
Stress,APOE,348,apolipoprotein E,AD2 LPG APO-E LDLCQ5,19,30951
Stress,ATF3,467,activating transcrip,,1,1265
Stress,ATP2A2,488,"ATPase, Ca++ transpo",DD DAR ATP2B SERCA2,12,80167
Stress,AVP,551,arginine vasopressin,VP ADH ARVP AVRP AVP-NPII,20,417
Stress,BDNF,627,brain-derived neurot,"ANON2, BULN2",11,7245
Stress,CRK,1398,v-crk avian sarcoma ,p38 CRKII,17,81850
Stress,CRP,1401,"C-reactive protein, ",PTX1,1,128039
Stress,CXCL10,3627,chemokine (C-X-C mot,C7 IFI10 INP10 IP-10 crg-2 mob-1 SCYB10 gIP-10,4,1203
Stress,DDIT3,1649,DNA damage inducible,CHOP CEBPZ CHOP10 CHOP-10 GADD153,12,3012
Stress,EPO,2056,erythropoietin,EP MVCD2,7,624
Stress,GGT1,2678,gamma-glutamyltransf,GGT GTG CD224 GGT 1 D22S672 D22S732,22,68450
Stress,GLO1,2739,glyoxalase I,GLYI GLOD1 HEL-S-74,6,4880
Stress,GLP1R,2740,glucagon like peptid,"GLP-1, GLP-1R, GLP-1-R",11,1558
Stress,HMOX1,3162,heme oxygenase 1,HO-1 HSP32 HMOX1D bK286B10,22,31075
Stress,HNF4A,3172,hepatocyte nuclear f,TCF HNF4 MODY FRTS4 MODY1 NR2A1 TCF14 HNF4a7 HNF4a,20,395
Stress,IGF1,3479,insulin like growth ,MGF IGFI IGF-I,12,515
Stress,IGF2,3481,insulin like growth ,GRDF IGF-II PP9974 C11orf43,11,510
Stress,IL10,3586,interleukin 10,CSIF TGIF GVHDS IL-10 IL10A,1,478
Stress,IRS2,8660,insulin receptor sub,IRS-2,13,2778
Stress,LEP,3952,leptin,"OB, OBS, LEPD",7,193
Stress,LPL,4023,lipoprotein lipase,LIPD HDLCQ11,8,200
Stress,MIF,4282,macrophage migration,GIF GLIF MMIF,22,55655
Stress,MTHFR,4524,methylenetetrahydrof,,1,4349
