Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Stress,GLP1R,2740,glucagon like peptid,"GLP-1, GLP-1R, GLP-1-R",11,1558
Stress,GSTT1,2952,glutathione S-transf,,22,134739
Stress,IRS1,3667,insulin receptor sub,HIRS-1,2,4049
Stress,LPO,4025,lactoperoxidase,SPO,17,21240
Stress,MTHFR,4524,methylenetetrahydrof,,1,4349
Stress,NFE2L2,4780,"nuclear factor, eryt","NRF2, HEBP1",2,2412
Stress,NOS1,4842,nitric oxide synthas,"NOS, bNOS, nNOS, IHPS1, N-NOS, NC-NOS",12,37327
Stress,NPY,4852,neuropeptide Y,PYY4,7,697
Stress,PON1,5444,paraoxonase 1,"ESA, PON, MVCD5",7,68058
Stress,PPARG,5468,peroxisome prolifera,"GLM1, CIMT1, NR1C3, PPARG1, PPARG2, PPARgamma",3,7899
Stress,RELA,5970,v-rel avian reticulo,"p65, NFKB3",11,32064
Stress,SERPINF1,5176,serpin peptidase inh,"OI6, OI12, PEDF, EPC-1, PIG35",17,1965
Stress,SIRT1,23411,sirtuin 1,"SIR2, SIR2L1, SIR2alpha",10,56556
Stress,SOCS3,9021,suppressor of cytoki,"CIS3, SSI3, ATOD4, Cish3, SSI-3, SOCS-3",17,2941
Stress,SOD2,6648,superoxide dismutase,"IPOB, MNSOD, MVCD6",6,530
Stress,SPP1,6696,secreted phosphoprot,"OPN, BNSP, BSPI, ETA-1",4,20156
Stress,TH,7054,tyrosine hydroxylase,"TYH, DYT14, DYT5b",11,307
Stress,TIMP3,7078,TIMP metallopeptidas,"SFD, K222, K222TA2, HSMRK222",22,36322
Stress,TNFRSF11B,4982,tumor necrosis facto,"OPG, TR1, OCIF, PDB5",8,1912
Stress,UCP1,7350,uncoupling protein 1,"UCP, SLC25A7",4,22524
Stress,VEGFA,7422,vascular endothelial,"VPF, VEGF, MVCD1",6,2534
