Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Retinopathy,SOD2,6648,superoxide dismutase,"IPOB, MNSOD, MVCD6",6,530
Retinopathy,TCF7L2,6934,transcription factor,"TCF4, TCF-4",10,7564
Retinopathy,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Retinopathy,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
Retinopathy,IL17,3605,interleukin 17A ,IL17 CTLA8 IL-17 CTLA-8 IL-17A,6,1651
Stress,ALDH2,217,aldehyde dehydrogena,"ALDM, ALDHI, ALDH-E2",12,55480
Stress,CCL2,6347,chemokine (C-C motif,"HC11, MCAF, MCP1, MCP-1, SCYA2, GDCF-2, SMC-CF, HS",17,2245
Stress,CD36,948,CD36 molecule (throm,"FAT, GP4, GP3B, GPIV, CHDS7, PASIV, SCARB3, BDPLT1",7,73871
Stress,GSTP1,2950,glutathione S-transf,"PI, DFN7, GST3, GSTP, FAEES3, HEL-S-22",11,660
Stress,LDLR,3949,low density lipoprot,"FH, FHC, LDLCQ2",19,55469
Stress,PPARGC1A,10891,peroxisome prolifera,"LEM6, PGC1, PGC1A, PGC-1v, PPARGC1, PGC-1(alpha)",4,7485
Stress,SLC2A4,6517,solute carrier famil,GLUT4,17,74381
Stress,SLC2A4,6517,solute carrier famil,GLUT4,17,74381
Stress,SOCS3,9021,suppressor of cytoki,"CIS3, SSI3, ATOD4, Cish3, SSI-3, SOCS-3",17,2941
Stress,SOD2,6648,superoxide dismutase,"IPOB, MNSOD, MVCD6",6,530
Stress,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Stress,UCP2,7351,uncoupling protein 2,"UCPH, BMIQ4, SLC25A8",11,2516
