Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Obesity,INS,3630,insulin,"IDDM,  ILPR,  IRDN,  IDDM1,  IDDM2,  MODY10",11,173
Obesity,IRS2,8660,insulin receptor substrate 2,IRS-2,13,2778
Obesity,LEP,3952,leptin,"OB,  OBS,  LEPD",7,193
Obesity,LPL,4023,lipoprotein lipase,"LIPD, HDLCQ11",8,200
Obesity,MPO,4353,myeloperoxidase,,17,55450
Obesity,NOS3,4846,nitric oxide synthase 3,"eNOS,  ECNOS",7,504
Obesity,NPY,4852,neuropeptide Y,PYY4,7,697
Obesity,PCSK9,255738,proprotein convertase subtilisin/kexin type 9,"FH3,  PC9,  RC1,  LDLCQ1,  RC-1,  HCHOLA3",1,17790
Obesity,PLTP,5360,phospholipid transfer protein,"BPIFE, HDLCQ9",20,4536
Obesity,PPARA,5465,peroxisome proliferator-activated receptor alpha,"PPAR, NR1C1, hPPAR, PPARalpha",22,21047
Obesity,PPARG,5468,peroxisome proliferator-activated receptor gamma,"GLM1, CIMT1, NR1C3, PPARG1, PPARG2, PPARgamma",3,7899
Obesity,RBP4,5950,retinol binding protein 4,"RDCCAS, MCOPCB10",10,4908
Obesity,REN,5972,renin,HNFJ2,1,20151
Obesity,ROCK2,9475,Rho associated coiled-coil containing protein kinase 2,ROCK-II,2,21010
Obesity,SIRT1,23411,sirtuin 1,"SIR2, SIR2L1, SIR2alpha",10,56556
Obesity,SPP1,6696,secreted phosphoprotein 1,"OPN, BNSP, BSPI, ETA-1",4,20156
Obesity,STEAP4,79689,STEAP4 metalloreductase,"TIARP, STAMP2, TNFAIP9",7,36422
Obesity,TCF7L2,6934,"transcription factor 7-like 2 (T-cell specific, HMG-box)","TCF4, TCF-4",10,7564
Obesity,TLR4,7099,toll-like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
Obesity,TNF,7124,tumor necrosis factor,"DIF, TNFA, TNFSF2, TNF-alpha",6,496
Obesity,UCP2,7351,"uncoupling protein 2 (mitochondrial, proton carrier)","UCPH, BMIQ4, SLC25A8",11,2516
Obesity,VEGFA,7422,vascular endothelial growth factor A,"VPF, VEGF, MVCD1",6,2534
Stress,AHSG,197,alpha-2-HS-glycoprotein,"AHS, A2HS, HSGA, FETUA",3,1225
Stress,CETP,1071,"cholesteryl ester transfer protein, plasma","BPIFF, HDLCQ10",16,47904
Stress,CYBA,1535,"cytochrome b-245, alpha polypeptide",p22-PHOX,16,80
Stress,FOXO1,2308,forkhead box O1,"FKH1, FKHR, FOXO1A",13,1527
Stress,LEP,3952,leptin,"OB, OBS, LEPD",7,193
Stress,PON1,5444,paraoxonase 1,"ESA, PON, MVCD5",7,68058
Stress,PPARG,5468,peroxisome proliferator-activated receptor gamma,"GLM1, CIMT1, NR1C3, PPARG1, PPARG2, PPARgamma",3,7899
Stress,SIRT1,23411,sirtuin 1,"SIR2, SIR2L1, SIR2alpha",10,56556
Stress,SPP1,6696,secreted phosphoprotein 1,"OPN, BNSP, BSPI, ETA-1",4,20156
Stress,STEAP4,79689,STEAP4 metalloreductase,"TIARP, STAMP2, TNFAIP9",7,36422
