Risk_factor/complication,Gene_symbol,Gene_ID,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
Inflammation,1234,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),CKR5 CCR-5 CD195 CKR-5 CCCKR5 CMKBR5 IDDM22 CC-CKR-5,3,37325
Inflammation,948,CD36,CD36 molecule (thrombospondin receptor),FAT GP4 GP3B GPIV CHDS7 PASIV SCARB3 BDPLT10,7,73871
Inflammation,952,CD38,CD38 molecule,ADPRC1 ADPRC 1,4,1345
Inflammation,959,CD40LG,CD40 ligand,IGM IMD3 TRAP gp39 CD154 CD40L HIGM1 T-BAM TNFSF5 hCD40L,X,56
Inflammation,968,CD68,CD68 molecule,GP110 LAMP4 SCARD1,17,955
Inflammation,969,CD69,CD69 molecule,AIM EA1 MLR-3 CLEC2C GP32/28 BL-AC/P26,12,128584
Inflammation,941,CD80,CD80 molecule,B7 BB1 B7-1 B7.1 LAB7 CD28LG CD28LG1,3,3804
Inflammation,1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",P21 CIP1 SDI1 WAF1 CAP20 CDKN1 MDA-6 p21CIP1,6,333
Inflammation,1116,CHI3L1,chitinase 3 like 1,GP39 ASRT7 GP-39 YKL40 CGP-39 YKL-40 YYL-40 HC-gp39 HCGP-3P hCGP-39,1,55569
Inflammation,1154,CISH,cytokine inducible SH2-containing protein,CIS G18 SOCS CIS-1 BACTS2,3,7667
Inflammation,1268,CNR1,cannabinoid receptor 1 (brain),CB1 CNR CB-R CB1A CB1R CANN6 CB1K5,6,7273
Inflammation,1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,p38 CRKII,17,81850
Inflammation,1401,CRP,"C-reactive protein, pentraxin-related",PTX1,1,128039
Inflammation,1490,CTGF,connective tissue growth factor,CCN2 NOV2 HCS24 IGFBP8,6,1431
Inflammation,6376,CX3CL1,chemokine (C-X3-C motif) ligand 1,NTN NTT CXC3 CXC3C SCYD1 ABCD-3 C3Xkine fractalkine neurotactin,16,2251
Inflammation,1524,CX3CR1,chemokine (C-X3-C motif) receptor 1,V28 CCRL1 GPR13 CMKDR1 GPRV28 CMKBRL1,3,20350
Inflammation,2919,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",FSP GRO1 GROa MGSA NAP-3 SCYB1 MGSA-a,4,136748
Inflammation,3627,CXCL10,chemokine (C-X-C motif) ligand 10,C7 IFI10 INP10 IP-10 crg-2 mob-1 SCYB10 gIP-10,4,1203
Inflammation,58191,CXCL16,chemokine (C-X-C motif) ligand 16,SRPSOX CXCLG16 SR-PSOX,17,49694
Inflammation,6374,CXCL5,chemokine (C-X-C motif) ligand 5,SCYB5 ENA-78,4,88672
Inflammation,3576,CXCL8,chemokine (C-X-C motif) ligand 8,IL8 NAF GCP1 LECT LUCT NAP1 GCP-1 LYNAP MDNCF MONAP NAP-1,4,47937
Inflammation,4283,CXCL9,chemokine (C-X-C motif) ligand 9,CMK MIG Humig SCYB9 crg-10,4,1813
Inflammation,1536,CYBB,"cytochrome b-245, beta polypeptide",CGD NOX2 IMD34 AMCBX2 GP91-1 GP91PHOX p91-PHOX GP91-PHOX,X,68054
Inflammation,1573,CYP2J2,cytochrome P450 family 2 subfamily J member 2,CPJ2,1,68091
